Date : 2024-06-27 13:43:05
Directory : f:\Onix\Pictures\1Progs\source\3ndetz.github.io
Total : 61 files,  91449 codes, 3308 comments, 6066 blanks, all 100823 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.min.css        | CSS        |          1 |          5 |          0 |          6 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.css        | CSS        |        524 |          6 |         64 |        594 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-reboot.rtl.min.css    | CSS        |          1 |          5 |          0 |          6 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.css         | CSS        |      4,891 |          8 |        503 |      5,402 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.min.css     | CSS        |          1 |          5 |          0 |          6 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.css     | CSS        |      4,887 |          6 |        500 |      5,393 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap-utilities.rtl.min.css | CSS        |          1 |          5 |          0 |          6 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.css                   | CSS        |     11,136 |         24 |        897 |     12,057 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.min.css               | CSS        |          2 |          4 |          0 |          6 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.rtl.css               | CSS        |     11,138 |          6 |        886 |     12,030 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\css\bootstrap.rtl.min.css           | CSS        |          2 |          4 |          0 |          6 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.bundle.js              | JavaScript |      5,064 |        655 |        596 |      6,315 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.bundle.min.js          | JavaScript |          1 |          6 |          0 |          7 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.esm.js                 | JavaScript |      3,568 |        578 |        302 |      4,448 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.esm.min.js             | JavaScript |          1 |          6 |          0 |          7 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.js                     | JavaScript |      3,604 |        584 |        307 |      4,495 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\bootstrap\js\bootstrap.min.js                 | JavaScript |          1 |          6 |          0 |          7 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\animations.css                   | CSS        |        354 |          0 |         32 |        386 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\boxicons.css                     | CSS        |      5,373 |          0 |         52 |      5,425 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\boxicons.min.css                 | CSS        |          1 |          0 |          0 |          1 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\css\transformations.css              | CSS        |         25 |          0 |          6 |         31 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\boxicons\fonts\boxicons.svg                   | XML        |      1,660 |          0 |          0 |      1,660 |
